timestamp,Kansas,Arizona
2026-02-10T01:13:00Z,41.83,60.00
2026-02-10T01:14:00Z,42.00,59.98
2026-02-10T01:15:00Z,42.00,59.76
2026-02-10T01:16:00Z,41.85,60.00
2026-02-10T01:17:00Z,41.38,59.99
2026-02-10T01:18:00Z,42.00,59.98
2026-02-10T01:19:00Z,41.80,60.00
2026-02-10T01:20:00Z,42.00,60.00
2026-02-10T01:21:00Z,41.94,60.00
2026-02-10T01:22:00Z,41.81,60.00
2026-02-10T01:23:00Z,40.99,60.00
2026-02-10T01:24:00Z,41.00,59.96
2026-02-10T01:25:00Z,41.00,59.99
2026-02-10T01:26:00Z,41.00,59.19
2026-02-10T01:27:00Z,41.00,59.99
2026-02-10T01:28:00Z,41.00,60.98
2026-02-10T01:29:00Z,41.00,60.98
2026-02-10T01:30:00Z,41.00,61.00
2026-02-10T01:31:00Z,41.00,61.00
2026-02-10T01:32:00Z,40.97,60.94
2026-02-10T01:33:00Z,41.00,60.87
2026-02-10T01:34:00Z,40.16,60.98
2026-02-10T01:35:00Z,41.00,60.93
2026-02-10T01:36:00Z,41.00,61.00
2026-02-10T01:37:00Z,41.00,61.00
2026-02-10T01:38:00Z,39.81,60.99
2026-02-10T01:39:00Z,38.93,62.28
2026-02-10T01:40:00Z,38.62,63.00
2026-02-10T01:41:00Z,37.98,63.03
2026-02-10T01:42:00Z,37.99,64.69
2026-02-10T01:43:00Z,37.21,65.57
2026-02-10T01:44:00Z,36.77,65.90
2026-02-10T01:45:00Z,36.86,65.74
2026-02-10T01:46:00Z,36.81,65.98
2026-02-10T01:47:00Z,36.76,65.86
2026-02-10T01:48:00Z,35.88,66.52
2026-02-10T01:49:00Z,33.35,68.90
2026-02-10T01:50:00Z,34.73,66.16
2026-02-10T01:51:00Z,34.94,67.79
2026-02-10T01:52:00Z,34.92,67.78
2026-02-10T01:53:00Z,34.84,67.72
2026-02-10T01:54:00Z,34.91,67.01
2026-02-10T01:55:00Z,34.65,67.51
2026-02-10T01:56:00Z,34.74,67.67
2026-02-10T01:57:00Z,33.93,66.99
2026-02-10T01:58:00Z,34.61,66.97
2026-02-10T01:59:00Z,34.14,66.96
2026-02-10T02:00:00Z,33.24,67.80
2026-02-10T02:01:00Z,33.75,67.97
2026-02-10T02:02:00Z,31.28,68.97
2026-02-10T02:03:00Z,31.62,69.31
2026-02-10T02:04:00Z,31.13,69.45
2026-02-10T02:05:00Z,31.85,69.80
2026-02-10T02:06:00Z,31.96,69.99
2026-02-10T02:07:00Z,31.10,69.99
2026-02-10T02:08:00Z,31.68,69.98
2026-02-10T02:09:00Z,31.27,70.82
2026-02-10T02:10:00Z,28.28,72.78
2026-02-10T02:11:00Z,22.13,78.80
2026-02-10T02:12:00Z,23.29,78.79
2026-02-10T02:13:00Z,23.43,78.73
2026-02-10T02:14:00Z,23.01,79.34
2026-02-10T02:15:00Z,25.69,76.94
2026-02-10T02:16:00Z,25.54,76.48
2026-02-10T02:17:00Z,22.51,80.07
2026-02-10T02:18:00Z,23.23,79.52
2026-02-10T02:19:00Z,22.22,81.34
2026-02-10T02:20:00Z,22.53,81.09
2026-02-10T02:21:00Z,19.72,82.15
2026-02-10T02:22:00Z,21.26,79.16
2026-02-10T02:23:00Z,22.10,80.60
